x,y
0.0,2.8170857821323163
0.1,-0.4315360754110462
0.2,6.915747865947912
0.30000000000000004,6.704336197932248
0.4,3.565836421326524
0.5,3.884444764965934
0.6000000000000001,5.058523680148269
0.7000000000000001,5.016092325154717
0.8,6.417826703873663
0.9,0.2752429831476535
1.0,1.622193851561018
1.1,6.405962988407188
1.2000000000000002,5.463380890685302
1.3,4.515055880394483
1.4000000000000001,4.7240727451339914
1.5,6.073668999274047
1.6,3.8867894434658203
1.7000000000000002,4.3465028288046526
1.8,9.891651087532333
1.9000000000000001,6.53156871305767
2.0,7.390994266409901
2.1,10.064052826308998
2.2,7.791663477276633
2.3000000000000003,5.856693070844345
2.4000000000000004,5.773539175015502
2.5,10.091010159923465
2.6,6.267992974759833
2.7,6.607911032608513
2.8000000000000003,7.584458477888202
2.9000000000000004,7.664103228722322
3.0,13.72581010809903
3.1,8.059594926549288
3.2,9.151060601296145
3.3000000000000003,8.80126313710879
3.4000000000000004,8.784391884657003
3.5,11.143873368777307
3.6,7.8133160119362
3.7,8.736263566664745
3.8000000000000003,6.805004201188522
3.9000000000000004,9.491582696228596
4.0,11.472940572961388
4.1000000000000005,13.84119105253042
4.2,11.384147257710845
4.3,10.630951142338478
4.4,14.149035563953149
4.5,10.44955994681201
4.6000000000000005,12.077025030171754
4.7,15.392963218083999
4.800000000000001,14.32241676441381
4.9,16.293845734419833
5.0,9.068269077735707
5.1000000000000005,11.547006194204435
5.2,13.75556803538584
5.300000000000001,13.977342837280117
5.4,10.654362897201446
5.5,13.304844815653386
5.6000000000000005,14.145633395174638
5.7,16.521954819685597
5.800000000000001,10.644182204928853
5.9,16.59100834653185
6.0,16.197741882185415
6.1000000000000005,17.940885710751218
6.2,11.433327367902766
6.300000000000001,12.375493876009354
6.4,15.96349389732531
6.5,17.21721179177314
6.6000000000000005,15.383446404953304
6.7,17.779068665260557
6.800000000000001,15.859492086036504
6.9,17.291883063797343
7.0,18.445762394974263
7.1000000000000005,14.40571095359588
7.2,17.821217650888936
7.300000000000001,20.009446657883178
7.4,18.182509925805753
7.5,20.696788491878753
7.6000000000000005,18.76638485859895
7.7,18.01240212734556
7.800000000000001,19.0286706766099
7.9,21.810056947035093
8.0,16.78254904608877
8.1,18.04758131820245
